SCHOOL/FACILITY NAME,SCHOOL WEBSITE,EMS AGENCY,EMS AGENCY PHONE NUMBER,CLOSEST HOSPITAL(S),HOSPITAL(S) PHONE NUMBER,STRIP MAP,STRIP MAP TO CLOSEST HOSPITAL(S),AERIAL VIEW,Enrolment,Capacity
RIVERVIEW SENIOR HIGH SCHOOL,http://www.rsd.k12.pa.us/,LOWER VALLEY AMBULANCE SERVICE,(724) 274-4155,UPMC ST. MARGARET,(412) 784-4000,"GOOGLE MAPS: 100 HULTON RD, OAKMONT, PA 15139",RIVERVIEW TO UPMC ST MARGARET,RIVERVIEW SENIOR HIGH SCHOOL,450,21150
SHALER AREA HIGH SCHOOL,http://www.sasd.k12.pa.us/shalerareahighschool_home.aspx,SHALER AREA EMS,(412) 487-6590,"ALLEGHENY GENERAL
FORBES HOSPITAL","(412) 359-3252
(412) 858-2000","GOOGLE MAPS: 381 WIBLE RUN RD, PITTSBURGH, PA 15209","SHALER TO UPMC ST MARGARET

SHALER TO ALLEGHENY GENERAL",SHALER AREA HIGH SCHOOL,1357,63779
SOUTH ALLEGHENY HIGH SCHOOL,http://www.southallegheny.org/HighMiddle.cfm?subpage=89106,ELIZABETH TOWNSHIP AREA EMS,(412) 751-0919,"JEFFERSON REGIONAL
UPMC MCKEESPORT","(412) 469-5000
(412) 664-2000","GOOGLE MAPS: 2743 WASHINGTON BLVD, MCKEESPORT, PA 15133","SOUTH ALLEGHENY TO UPMC MCKEESPORT

SOUTH ALLEGHENY TO JEFFERSON REGIONAL",SOUTH ALLEGHENY HIGH SCHOOL,717,33699
SOUTH FAYETTE HIGH SCHOOL,http://www.southfayette.org/high,SOUTHBRIDGE EMS,(412) 221-5115,"JEFFERSON REGIONAL
ST CLAIR MEMORIAL","(412) 469-5000
(412) 942-4000","GOOGLE MAPS: 3640 OLD OAKDALE RD, MCDONALD, PA 15057","SOUTH FAYETTE TO ST CLAIR MEMORIAL

SOUTH FAYETTE TO OHIO VALLEY",SOUTH FAYETTE HIGH SCHOOL,895,42065
SOUTH PARK SENIOR HIGH,http://www.edline.net/pages/SPHS,TRI-COMMUNITY SOUTH EMS,(412) 831-3710,ST CLAIR MEMORIAL,(412) 942-4000,"GOOGLE MAPS: 2005 EAGLE PRIDE LN, SOUTH PARK TOWNSHIP, PA 15129",SOUTH PARK TO ST CLAIR MEMORIAL,SOUTH PARK SENIOR HIGH,626,29422
SPRINGDALE JR SR HIGH SCHOOL,http://hs.avsdweb.org/pages/Springdale_JSHS,LOWER VALLEY AMBULANCE SERVICE,(412) 274-4155,"ALLEGHENY VALLEY 
UPMC ST. MARGARET","(724) 224-5100
(412) 784-4000","GOOGLE MAPS: 501 BUTLER RD, SPRINGDALE, PA 15144","SPRINGDALE TO UPMC ST MARGARET

SPRINGDALE TO ALLEGHENY VALLEY",SPRINGDALE JR SR HIGH SCHOOL,414,19458
STEEL VALLEY SENIOR HIGH SCHOOL,http://www.svsd.k12.pa.us/home/Schools/senior.html,MUNHALL AREA PREHOSPITAL SERVICES,(412) 464-7329,UPMC MCKEESPORT,(412) 664-2000,"GOOGLE MAPS: 3113 MAIN ST, MUNHALL, PA 15120",STEEL VALLEY TO UPMC MCKEESPORT,STEEL VALLEY SENIOR HIGH SCHOOL,471,22137
STO-ROX SR HIGH SCHOOL,http://www.edline.net/pages/Sto-Rox_High_School,NORTHWEST EMS,(412) 331-2600,"ALLEGHENY GENERAL
OHIO VALLEY","(412) 359-3252
(412) 777-6161","GOOGLE MAPS: 1105 VALLEY ST, MCKEES ROCKS, PA 15136","STO ROX TO ALLEGHENY GENERAL

STO ROX TO OHIO VALLEY
",STO-ROX SR HIGH SCHOOL,512,24064
THOMAS JEFFERSON HIGH SCHOOL,http://www.wjhsd.net/,JEFFERSON HILLS AMBULANCE ASSOCIATION,(412) 384-0111,"JEFFERSON REGIONAL
UPMC MCKEESPORT","(412) 469-5000
(412) 664-2000","GOOGLE MAPS: 310 OLD CLAIRTON RD, CLAIRTON, PA 15025","THOMAS JEFFERSON TO UPMC MCKEESPORT

THOMAS JEFFERSON TO JEFFERSON REGIONAL",THOMAS JEFFERSON HIGH SCHOOL,889,41783
UPPER ST CLAIR HIGH SCHOOL,http://www.uscsd.k12.pa.us/site/default.aspx?PageID=1,TRI-COMMUNITY SOUTH EMS,(412) 831-3710,"JEFFERSON REGIONAL
ST CLAIR MEMORIAL","(412) 469-5000
(412)942-4000","GOOGLE MAPS: 1825 MCLAUGHLIN RUN RD, PITTSBURGH, PA 15241","UPPER ST CLAIR TO ST CLAIR MEMORIAL

UPPER ST CLAIR TO JEFFERSON REGIONAL",UPPER ST CLAIR HIGH SCHOOL,1391,65377
WEST ALLEGHENY HIGH SCHOOL,http://www.westasd.org/WestAllegheny.cfm,NORTHWEST EMS,(412) 331-2600,HERITAGE VALLEY - SEWICKLEY,(412) 741-6600,"GOOGLE MAPS: 205 W ALLEGHENY RD, IMPERIAL, PA 15126",WEST ALLEGHENY TO HERITAGE VALLEY ,WEST ALLEGHENY HIGH SCHOOL,1034,48598
WEST MIFFLIN AREA HIGH SCHOOL,http://wmasdhs.ss7.sharpschool.com/,BALDWIN EMS,(412) 884-0666,UPMC MCKEESPORT,(412) 664-2000,"GOOGLE MAPS: 91 COMMONWEALTH AVE, WEST MIFFLIN, PA 15122",WEST MIFFLIN TO UPMC MCKEESPORT,WEST MIFFLIN AREA HIGH SCHOOL,1031,48457
WILKINSBURG HIGH SCHOOL,http://www.wilkinsburgschools.org/,EASTERN AREA PREHOSPITAL SERVICES,(412) 829-8155,UPMC ST. MARGARET,(412) 784-4000,"GOOGLE MAPS: 747 WALLACE AVE, PITTSBURGH, PA 15221",WILKINSBURG TO UPMC ST MARGARET,WILKINSBURG HIGHSCHOOL,113,5311
WOODLAND HILLS HIGH SCHOOL,http://www.whsd.k12.pa.us/school_profile.aspx?schoolid=1,WOODLAND HILLS EMS,(412) 351-9111,UPMC ST. MARGARET,(412) 784-4000,"GOOGLE MAPS: 2550 GREENSBURG PIKE, PITTSBURGH, PA 15221",WOODLAND HILLS TO UPMC ST MARGARET,WOODLAND HILLS HIGH SCHOOL,1381,64907
